station_id,collection_time,ph,do,nh3n,turbidity,temperature,cod,total_phosphorus
ST002,2026-04-03 04:00:00,7.31,5.88,0.31,6.85,21.06,17.07,0.2
ST003,2026-04-03 04:00:00,7.66,4.31,0.43,7.6,17.91,19.12,0.22
ST001,2026-04-03 08:00:00,7.14,6.36,0.16,7.97,22.48,20.94,0.19
ST002,2026-04-03 08:00:00,7.34,5.65,0.27,7.73,21.64,21.92,0.19
ST003,2026-04-03 08:00:00,7.75,3.96,0.44,8.55,22.49,21.22,0.23
ST001,2026-04-03 12:00:00,7.3,6.89,0.11,7.99,22.84,20.15,0.22
ST002,2026-04-03 12:00:00,7.52,6.17,0.21,6.87,24.39,21.19,0.22
ST003,2026-04-03 12:00:00,7.96,4.25,0.41,7.8,22.19,21.46,0.2
ST001,2026-04-03 16:00:00,7.32,7.19,0.14,7.34,20.51,20.37,0.21
ST002,2026-04-03 16:00:00,7.65,6.16,0.26,6.7,19.81,18.92,0.2
ST003,2026-04-03 16:00:00,8.03,5.05,0.48,7.63,21.48,18.5,0.2
ST001,2026-04-03 20:00:00,7.27,7.56,0.09,8.13,20.34,19.84,0.21
ST002,2026-04-03 20:00:00,7.67,6.42,0.26,7.76,18.62,18.84,0.21
ST003,2026-04-03 20:00:00,7.95,5.29,0.49,9.31,17.58,98.61,0.21
ST001,2026-04-04 00:00:00,7.32,7.09,0.09,7.32,14.45,19.21,0.19
ST002,2026-04-04 00:00:00,7.42,6.32,0.32,8.44,16.31,18.65,0.21
ST003,2026-04-04 00:00:00,7.57,5.12,0.5,7.41,14.94,22.03,0.2
ST001,2026-04-04 04:00:00,7.12,6.43,0.1,7.75,18.56,19.32,0.22
ST002,2026-04-04 04:00:00,7.19,5.72,0.25,8.12,19.35,18.31,0.18
ST003,2026-04-04 04:00:00,7.73,4.32,0.42,8.87,18.64,21.77,0.21
ST001,2026-04-04 08:00:00,7.31,6.85,0.38,8.45,22.27,22.05,0.19
ST002,2026-04-04 08:00:00,7.47,5.71,0.18,6.89,19.05,19.6,0.22
ST003,2026-04-04 08:00:00,7.85,4.01,0.51,6.75,19.46,19.92,0.21
ST001,2026-04-04 12:00:00,7.3,6.34,0.12,6.8,23.8,20.55,0.19
ST002,2026-04-04 12:00:00,7.55,5.54,0.25,8.44,21.82,20.76,0.19
ST003,2026-04-04 12:00:00,7.82,4.23,0.41,7.35,21.56,22.95,0.21
ST001,2026-04-04 16:00:00,7.33,7.29,0.12,7.59,22.24,21.14,0.19
ST002,2026-04-04 16:00:00,7.64,6.19,0.16,6.65,23.14,22.47,0.2
ST003,2026-04-04 16:00:00,8.06,4.81,0.57,8.56,21.35,18.57,0.17
ST001,2026-04-04 20:00:00,7.32,7.35,0.06,7.28,17.2,22.53,0.22
ST002,2026-04-04 20:00:00,7.6,6.8,0.25,7.13,20.33,20.81,0.18
ST003,2026-04-04 20:00:00,7.88,4.82,0.4,8.42,20.79,17.9,0.22
ST001,2026-04-05 00:00:00,7.03,7.15,0.1,7.12,17.06,18.75,0.21
ST002,2026-04-05 00:00:00,7.39,6.2,0.21,7.33,17.91,20.75,0.19
ST003,2026-04-05 00:00:00,7.71,4.9,0.38,8.14,16.2,20.86,0.19
ST001,2026-04-05 04:00:00,6.82,6.42,0.12,7.94,17.41,20.96,0.17
ST002,2026-04-05 04:00:00,7.29,5.51,0.22,7.78,17.47,19.42,0.22
ST003,2026-04-05 04:00:00,7.54,4.42,0.41,8.13,20.23,63.42,0.19
ST001,2026-04-05 08:00:00,7.16,6.46,0.13,7.31,21.6,19.77,0.23
ST002,2026-04-05 08:00:00,7.43,5.57,0.23,7.4,20.98,20.59,0.2
ST003,2026-04-05 08:00:00,7.73,4.42,0.48,7.51,22.94,19.39,0.17
ST001,2026-04-05 12:00:00,7.2,6.38,0.11,7.76,25.01,20.49,0.2
ST002,2026-04-05 12:00:00,7.68,5.31,0.26,8.31,21.23,21.72,0.21
ST003,2026-04-05 12:00:00,7.86,4.38,0.54,7.88,23.3,19.31,0.19
ST001,2026-04-05 16:00:00,7.48,7.08,0.12,7.4,22.07,20.5,0.23
ST002,2026-04-05 16:00:00,7.65,6.2,0.21,7.43,21.95,21.14,0.19
ST003,2026-04-05 16:00:00,8.09,5.02,0.47,9.11,20.57,18.13,0.17
ST001,2026-04-05 20:00:00,7.45,7.63,0.12,7.95,17.15,23.67,0.21
ST002,2026-04-05 20:00:00,7.61,6.65,0.27,7.91,17.55,20.71,0.24
ST003,2026-04-05 20:00:00,8.03,5.32,0.43,7.03,18.35,20.08,0.23
ST001,2026-04-06 00:00:00,6.93,7.56,0.11,7.44,15.79,17.52,0.22
ST002,2026-04-06 00:00:00,7.41,5.99,0.2,7.51,19.0,19.61,0.18
ST003,2026-04-06 00:00:00,7.68,4.7,0.34,7.71,16.72,21.04,0.24
ST001,2026-04-06 04:00:00,7.11,6.7,0.08,9.62,18.57,20.02,0.2
ST002,2026-04-06 04:00:00,7.32,5.72,0.23,7.35,18.46,19.18,0.19
ST003,2026-04-06 04:00:00,7.61,4.2,0.51,5.83,19.81,21.87,0.16
ST001,2026-04-06 08:00:00,7.07,6.43,0.06,7.19,20.17,22.63,0.22
ST002,2026-04-06 08:00:00,7.53,5.64,0.21,7.37,22.09,18.17,0.22
ST003,2026-04-06 08:00:00,7.68,3.93,0.48,8.07,21.07,21.74,0.18
ST001,2026-04-06 12:00:00,7.36,6.87,0.11,7.99,21.5,21.39,0.2
ST002,2026-04-06 12:00:00,7.55,5.96,0.22,6.73,21.13,20.91,0.18
ST003,2026-04-06 12:00:00,8.08,3.83,0.52,7.9,22.88,19.18,0.21
ST001,2026-04-06 16:00:00,7.4,7.47,0.12,7.86,21.06,19.91,0.21
ST002,2026-04-06 16:00:00,7.53,5.98,0.28,7.87,21.28,20.03,0.21
ST003,2026-04-06 16:00:00,7.95,4.59,0.46,7.04,21.99,17.45,0.23
ST001,2026-04-06 20:00:00,7.35,7.55,0.16,8.96,19.72,17.24,0.18
ST002,2026-04-06 20:00:00,7.54,6.51,0.27,7.22,18.72,18.87,0.19
ST003,2026-04-06 20:00:00,7.76,4.82,0.4,7.04,19.76,18.58,0.26
ST001,2026-04-07 00:00:00,7.15,7.29,0.09,8.26,16.31,20.18,0.25
ST002,2026-04-07 00:00:00,7.39,6.48,0.22,7.72,19.12,19.06,0.24
ST003,2026-04-07 00:00:00,7.77,4.64,0.47,8.46,17.75,17.64,0.19
ST001,2026-04-07 04:00:00,6.98,6.74,0.14,7.88,16.9,20.57,0.22
ST002,2026-04-07 04:00:00,7.36,5.97,0.28,8.08,18.42,17.51,0.21
ST003,2026-04-07 04:00:00,7.62,4.3,0.4,6.97,19.76,19.94,0.22
ST001,2026-04-07 08:00:00,7.1,6.51,0.16,7.38,21.62,19.31,0.2
ST002,2026-04-07 08:00:00,7.37,5.54,0.23,8.66,20.43,19.72,0.2
ST003,2026-04-07 08:00:00,7.84,4.04,0.49,6.67,21.82,21.33,0.21
ST001,2026-04-07 12:00:00,7.41,6.65,0.18,9.42,22.56,19.33,0.23
ST002,2026-04-07 12:00:00,7.76,5.65,0.23,7.55,21.39,18.62,0.19
ST003,2026-04-07 12:00:00,7.82,4.24,0.46,8.87,21.8,21.48,0.2
ST001,2026-04-07 16:00:00,7.4,7.38,0.08,8.03,21.7,20.74,0.21
ST002,2026-04-07 16:00:00,7.95,6.12,0.23,7.3,20.83,19.04,0.23
ST003,2026-04-07 16:00:00,8.14,4.64,0.42,8.09,20.84,20.95,0.21
ST001,2026-04-07 20:00:00,7.15,7.81,0.19,7.31,18.03,20.43,0.21
ST002,2026-04-07 20:00:00,7.67,6.9,0.24,7.17,16.84,18.9,0.2
ST003,2026-04-07 20:00:00,8.08,4.9,0.46,7.74,19.93,23.79,0.19
ST001,2026-04-08 00:00:00,7.05,7.46,0.15,9.09,17.7,19.46,0.22
ST002,2026-04-08 00:00:00,7.51,6.41,0.27,8.52,18.4,22.07,0.22
ST003,2026-04-08 00:00:00,7.68,4.78,0.5,7.16,17.44,19.41,0.21
ST001,2026-04-08 04:00:00,7.13,6.79,0.12,6.76,19.4,20.97,0.25
ST002,2026-04-08 04:00:00,7.27,5.79,0.26,8.89,18.39,20.42,0.22
ST003,2026-04-08 04:00:00,7.62,4.16,0.46,8.53,17.27,20.2,0.7
ST001,2026-04-08 08:00:00,7.22,6.2,0.1,8.02,23.38,19.9,0.19
ST002,2026-04-08 08:00:00,7.59,5.21,0.16,8.07,20.9,18.47,0.22
ST003,2026-04-08 08:00:00,7.72,3.89,0.4,8.38,22.28,19.85,0.24
ST001,2026-04-08 12:00:00,7.19,6.44,0.09,7.72,23.29,19.64,0.21
ST002,2026-04-08 12:00:00,7.47,6.04,0.25,8.56,23.41,20.69,0.22
ST003,2026-04-08 12:00:00,7.94,4.38,0.5,7.89,23.85,19.87,0.23
ST001,2026-04-08 16:00:00,7.33,7.61,0.12,6.71,21.65,18.98,0.22
ST002,2026-04-08 16:00:00,7.63,6.16,0.18,7.42,18.59,17.62,0.22
ST003,2026-04-08 16:00:00,8.08,4.84,0.41,7.72,21.5,18.26,0.23
ST001,2026-04-08 20:00:00,7.39,7.46,0.12,7.9,16.05,19.63,0.19
ST002,2026-04-08 20:00:00,7.5,6.44,0.32,8.21,17.81,20.86,0.23
ST003,2026-04-08 20:00:00,7.99,5.01,0.42,8.26,18.97,21.34,0.22
ST001,2026-04-09 00:00:00,7.2,7.14,0.17,7.89,19.49,18.97,0.24
ST002,2026-04-09 00:00:00,7.42,6.12,0.23,7.52,17.51,20.78,0.19
ST003,2026-04-09 00:00:00,7.7,5.18,0.52,8.07,17.05,20.18,0.22
ST001,2026-04-09 04:00:00,6.9,6.7,0.05,8.04,19.28,19.28,0.24
ST002,2026-04-09 04:00:00,7.18,5.46,0.26,8.51,20.52,19.31,0.23
ST003,2026-04-09 04:00:00,7.6,4.22,0.48,8.22,16.61,22.21,0.23
ST001,2026-04-09 08:00:00,7.04,6.58,0.14,7.94,20.84,18.99,0.2
ST002,2026-04-09 08:00:00,7.52,5.61,0.24,8.31,18.08,21.72,0.17
ST003,2026-04-09 08:00:00,7.66,3.78,0.4,8.59,20.94,20.52,0.2
ST001,2026-04-09 12:00:00,7.35,6.77,0.07,8.47,22.41,17.67,0.2
ST002,2026-04-09 12:00:00,7.75,5.92,0.24,7.5,22.61,23.12,0.21
ST003,2026-04-09 12:00:00,7.94,4.46,0.46,7.56,22.76,19.89,0.2
ST001,2026-04-09 16:00:00,7.47,7.26,0.15,7.69,21.59,17.0,0.22
ST002,2026-04-09 16:00:00,7.73,6.45,0.14,9.26,21.33,21.66,0.18
ST003,2026-04-09 16:00:00,8.06,4.54,0.43,9.14,21.27,20.33,0.22
ST001,2026-04-09 20:00:00,7.35,7.53,0.13,9.49,18.43,20.3,0.23
ST002,2026-04-09 20:00:00,7.71,6.74,0.28,6.92,20.46,18.28,0.21
ST003,2026-04-09 20:00:00,7.82,4.99,0.46,7.98,19.01,22.42,0.21
ST001,2026-04-10 00:00:00,7.08,7.44,0.17,6.86,17.72,21.05,0.2
ST002,2026-04-10 00:00:00,7.54,6.22,0.25,7.62,17.02,18.36,0.18
ST003,2026-04-10 00:00:00,7.86,4.58,0.41,6.19,16.23,18.02,0.24
ST001,2026-04-10 04:00:00,7.1,6.61,0.21,8.46,18.11,16.25,0.25
ST002,2026-04-10 04:00:00,7.16,5.42,0.29,9.52,20.16,20.85,0.22
ST003,2026-04-10 04:00:00,7.69,4.4,0.46,7.83,18.42,18.87,0.2
ST001,2026-04-10 08:00:00,6.93,6.48,0.08,6.95,21.72,22.09,0.22
ST002,2026-04-10 08:00:00,7.24,5.3,0.29,7.04,21.23,20.83,0.19
ST003,2026-04-10 08:00:00,7.71,3.73,0.43,7.98,19.59,20.66,0.2
ST001,2026-04-10 12:00:00,7.36,6.79,0.17,7.84,22.48,20.18,0.22
ST002,2026-04-10 12:00:00,7.6,5.76,0.22,7.27,21.32,22.62,0.18
ST003,2026-04-10 12:00:00,7.83,4.11,0.49,7.54,24.5,18.99,0.21
ST001,2026-04-10 16:00:00,7.32,7.68,0.07,7.97,22.26,20.62,0.2
ST002,2026-04-10 16:00:00,7.69,6.26,0.24,8.45,24.15,19.16,0.18
ST003,2026-04-10 16:00:00,7.99,5.27,0.42,8.94,23.51,19.17,0.22
ST001,2026-04-10 20:00:00,7.46,7.42,0.11,7.33,17.28,19.03,0.18
ST002,2026-04-10 20:00:00,7.6,6.35,0.26,6.62,18.9,21.25,0.17
ST003,2026-04-10 20:00:00,7.94,5.25,0.4,8.96,19.0,18.94,0.2
ST001,2026-04-11 00:00:00,7.16,7.27,0.14,7.08,17.2,17.88,0.2
ST002,2026-04-11 00:00:00,7.31,6.1,0.3,8.54,17.73,18.36,0.2
ST003,2026-04-11 00:00:00,7.82,4.78,0.54,8.04,17.23,19.54,0.21
ST001,2026-04-11 04:00:00,6.98,6.89,0.16,7.18,16.9,17.25,0.21
ST002,2026-04-11 04:00:00,7.19,5.32,0.27,9.56,18.49,21.26,0.21
ST003,2026-04-11 04:00:00,7.59,4.43,0.44,7.94,18.89,19.0,0.22
ST001,2026-04-11 08:00:00,7.08,6.35,0.14,7.1,21.53,19.99,0.23
ST002,2026-04-11 08:00:00,7.45,5.49,0.28,8.76,22.17,20.02,0.18
ST003,2026-04-11 08:00:00,7.59,3.94,0.43,7.61,21.57,20.79,0.2
ST001,2026-04-11 12:00:00,7.35,6.76,0.04,7.07,22.83,18.19,0.22
ST002,2026-04-11 12:00:00,7.75,5.99,0.24,8.83,23.18,19.49,0.19
ST003,2026-04-11 12:00:00,7.87,4.17,0.46,7.87,23.0,20.66,0.23
ST001,2026-04-11 16:00:00,7.49,6.95,0.02,8.43,19.86,19.66,0.18
ST002,2026-04-11 16:00:00,7.52,6.36,0.28,7.33,18.39,19.18,0.21
ST003,2026-04-11 16:00:00,7.85,4.79,0.45,8.17,21.64,18.54,0.23
ST001,2026-04-11 20:00:00,7.28,7.49,0.08,7.43,17.44,19.74,0.24
ST002,2026-04-11 20:00:00,7.46,6.18,0.31,7.6,17.7,21.56,0.19
ST003,2026-04-11 20:00:00,8.08,5.14,0.43,9.31,17.77,21.11,0.21
ST001,2026-04-12 00:00:00,7.23,7.56,0.12,7.2,17.55,18.98,0.24
ST002,2026-04-12 00:00:00,7.41,6.18,0.26,6.77,15.83,21.8,0.19
ST003,2026-04-12 00:00:00,7.6,4.86,0.5,8.27,18.2,18.86,0.18
ST001,2026-04-12 04:00:00,7.15,6.69,0.11,8.71,19.17,20.68,0.25
ST002,2026-04-12 04:00:00,7.24,5.94,0.25,7.94,20.33,20.76,0.22
ST003,2026-04-12 04:00:00,7.71,4.18,0.42,6.99,16.14,23.08,0.18
ST001,2026-04-12 08:00:00,7.08,6.44,0.13,8.34,22.53,19.13,0.2
ST002,2026-04-12 08:00:00,7.43,5.45,0.31,8.11,22.38,20.99,0.23
ST003,2026-04-12 08:00:00,7.72,3.74,0.47,7.28,20.87,20.88,0.23
ST001,2026-04-12 12:00:00,7.3,6.81,0.19,7.92,26.12,20.85,0.17
ST002,2026-04-12 12:00:00,7.68,5.83,0.3,8.24,22.83,18.16,0.2
ST003,2026-04-12 12:00:00,7.81,4.13,0.47,8.96,23.47,18.21,0.21
ST001,2026-04-12 16:00:00,7.52,7.13,0.11,7.76,20.56,20.97,0.2
ST002,2026-04-12 16:00:00,7.74,6.07,0.23,8.27,21.05,22.59,0.2
ST003,2026-04-12 16:00:00,8.02,4.94,0.39,6.47,19.67,21.89,0.19
ST001,2026-04-12 20:00:00,7.56,7.39,0.13,8.87,20.91,23.09,0.23
ST002,2026-04-12 20:00:00,7.7,6.62,0.28,7.35,17.52,19.99,0.2
ST003,2026-04-12 20:00:00,7.85,5.14,0.49,7.81,20.27,18.29,0.2
ST001,2026-04-13 00:00:00,7.03,6.88,0.12,7.66,18.82,20.95,0.19
ST002,2026-04-13 00:00:00,7.59,6.49,0.27,7.59,15.85,19.44,0.23
ST003,2026-04-13 00:00:00,7.89,5.06,0.43,6.94,17.17,17.35,0.21
ST001,2026-04-13 04:00:00,6.99,6.66,0.06,8.12,17.86,18.25,0.15
ST002,2026-04-13 04:00:00,7.3,6.1,0.32,7.42,17.78,20.7,0.19
ST003,2026-04-13 04:00:00,7.63,4.4,0.5,7.68,18.26,18.68,0.19
ST001,2026-04-13 08:00:00,7.08,6.57,0.16,7.17,23.29,19.59,0.2
ST002,2026-04-13 08:00:00,7.33,5.02,0.28,8.28,21.16,20.1,0.22
ST003,2026-04-13 08:00:00,7.54,3.89,0.48,6.84,21.85,17.97,0.21
ST001,2026-04-13 12:00:00,7.3,6.43,0.17,7.22,22.03,20.3,0.23
ST002,2026-04-13 12:00:00,7.5,5.76,0.27,8.25,23.21,19.45,0.19
ST003,2026-04-13 12:00:00,7.91,4.04,0.33,8.07,24.08,16.46,0.19
ST001,2026-04-13 16:00:00,7.46,7.66,0.12,7.22,21.28,22.06,0.19
ST002,2026-04-13 16:00:00,7.62,6.15,0.21,7.84,23.45,20.48,0.2
ST003,2026-04-13 16:00:00,7.97,4.44,0.48,7.69,21.28,24.79,0.21
ST001,2026-04-13 20:00:00,7.22,7.41,0.17,7.83,16.77,21.38,0.19
ST002,2026-04-13 20:00:00,7.79,6.72,0.23,8.68,18.58,21.28,0.21
ST003,2026-04-13 20:00:00,7.82,4.87,0.49,7.51,18.02,18.57,0.21
ST001,2026-04-14 00:00:00,7.31,7.04,0.12,8.77,16.9,20.68,0.18
ST002,2026-04-14 00:00:00,7.44,6.21,0.29,8.61,20.11,20.87,
ST003,2026-04-14 00:00:00,7.72,4.68,0.46,7.54,17.2,21.98,0.19
ST001,2026-04-14 04:00:00,7.11,7.01,0.12,6.21,17.77,21.95,0.2
ST002,2026-04-14 04:00:00,7.2,5.65,0.28,8.15,18.21,19.45,0.2
ST003,2026-04-14 04:00:00,7.51,4.57,0.44,8.63,20.33,21.5,0.2
ST001,2026-04-14 08:00:00,7.14,6.5,0.08,7.99,20.09,21.78,0.2
ST002,2026-04-14 08:00:00,7.42,5.56,0.24,8.18,20.93,21.31,0.18
ST003,2026-04-14 08:00:00,7.71,4.39,0.41,7.26,22.12,20.27,0.21
ST001,2026-04-14 12:00:00,7.35,6.88,0.16,8.05,22.71,21.01,0.24
ST002,2026-04-14 12:00:00,7.59,5.56,0.29,7.66,20.39,21.27,0.19
ST003,2026-04-14 12:00:00,7.89,4.32,0.46,8.26,22.48,20.77,0.2
ST001,2026-04-14 16:00:00,7.47,7.37,0.08,8.54,20.86,21.21,0.21
ST002,2026-04-14 16:00:00,7.88,6.21,0.24,7.74,21.14,21.2,0.17
ST003,2026-04-14 16:00:00,7.89,4.54,0.49,8.99,21.37,19.75,0.21
ST001,2026-04-14 20:00:00,7.42,7.31,0.13,8.46,19.1,20.28,0.22
ST002,2026-04-14 20:00:00,7.33,6.64,0.22,6.42,19.11,22.06,0.2
ST003,2026-04-14 20:00:00,8.0,5.32,0.5,8.94,19.39,20.11,0.17
ST001,2026-04-15 00:00:00,7.08,7.08,0.21,7.62,17.15,20.83,0.21
ST002,2026-04-15 00:00:00,7.57,6.13,0.26,7.21,15.42,19.08,0.2
ST003,2026-04-15 00:00:00,7.66,4.61,0.39,7.69,15.19,21.14,0.21
ST001,2026-04-15 04:00:00,6.85,6.69,0.09,7.98,20.11,17.19,0.21
ST002,2026-04-15 04:00:00,7.28,5.88,0.26,7.2,18.12,18.81,0.23
ST003,2026-04-15 04:00:00,7.6,4.63,0.45,7.24,16.68,17.3,0.17
ST001,2026-04-15 08:00:00,7.13,6.6,0.06,8.4,20.92,20.22,0.24
ST002,2026-04-15 08:00:00,7.49,5.45,0.21,6.19,20.64,19.68,0.19
ST003,2026-04-15 08:00:00,7.69,4.02,0.44,7.28,21.7,20.66,0.18
ST001,2026-04-15 12:00:00,7.44,6.73,0.12,8.26,23.28,21.43,0.21
ST002,2026-04-15 12:00:00,7.54,5.82,0.2,7.83,22.96,19.69,0.2
ST003,2026-04-15 12:00:00,7.71,4.14,0.45,7.87,21.77,21.9,0.19
ST001,2026-04-15 16:00:00,7.5,7.34,0.09,9.04,20.07,21.38,0.22
ST002,2026-04-15 16:00:00,7.63,6.53,0.24,7.96,21.81,19.8,0.22
ST003,2026-04-15 16:00:00,8.08,4.4,0.5,6.54,22.74,21.69,0.18
ST001,2026-04-15 20:00:00,7.26,7.28,0.11,7.53,19.44,21.97,0.23
ST002,2026-04-15 20:00:00,7.54,6.46,0.18,7.17,19.66,22.42,0.18
ST003,2026-04-15 20:00:00,7.84,4.99,0.46,7.16,19.01,19.29,0.2
ST001,2026-04-16 00:00:00,7.15,7.25,0.1,7.67,16.89,19.44,0.2
ST002,2026-04-16 00:00:00,7.56,6.36,0.24,8.26,16.6,21.76,0.21
ST003,2026-04-16 00:00:00,7.69,4.84,0.39,6.93,15.57,20.21,0.24
ST001,2026-04-16 04:00:00,7.22,6.88,0.14,6.44,17.85,18.82,0.19
ST002,2026-04-16 04:00:00,7.28,5.66,0.17,8.29,17.21,20.36,0.25
ST003,2026-04-16 04:00:00,7.51,3.74,0.44,8.55,20.85,18.16,0.21
ST001,2026-04-16 08:00:00,7.05,6.48,0.22,6.66,21.8,20.7,0.23
ST002,2026-04-16 08:00:00,7.41,5.56,0.23,7.95,21.09,20.93,0.2
ST003,2026-04-16 08:00:00,7.74,3.99,0.49,7.71,19.37,21.89,0.19
ST001,2026-04-16 12:00:00,7.23,6.63,0.17,6.2,26.77,21.58,0.21
ST002,2026-04-16 12:00:00,7.59,5.81,0.27,8.22,23.67,20.13,0.2
ST003,2026-04-16 12:00:00,7.88,4.21,0.49,8.18,19.47,20.98,0.21
ST001,2026-04-16 16:00:00,7.4,7.17,0.16,8.44,20.57,20.61,0.19
ST002,2026-04-16 16:00:00,7.56,6.12,0.28,8.44,22.12,21.09,0.22
ST003,2026-04-16 16:00:00,7.94,4.84,0.48,8.3,22.93,21.06,0.21
ST001,2026-04-16 20:00:00,7.41,7.49,0.09,7.63,17.61,18.99,0.2
ST002,2026-04-16 20:00:00,7.52,6.44,0.18,7.9,18.5,18.77,0.22
ST003,2026-04-16 20:00:00,7.99,4.68,0.42,7.19,17.37,21.24,0.2
ST001,2026-04-17 00:00:00,7.07,6.85,0.15,6.85,17.07,20.42,0.23
ST002,2026-04-17 00:00:00,7.27,5.65,0.26,9.06,18.49,20.31,0.2
ST003,2026-04-17 00:00:00,7.78,4.56,0.47,8.12,18.27,24.14,0.21
ST001,2026-04-17 04:00:00,6.95,6.74,0.05,7.25,18.01,19.21,0.21
ST002,2026-04-17 04:00:00,7.22,5.97,0.25,7.74,18.11,20.23,0.22
ST003,2026-04-17 04:00:00,7.51,4.12,0.44,6.77,17.52,19.29,0.22
ST001,2026-04-17 08:00:00,7.13,6.54,0.15,7.65,21.97,19.85,0.21
ST002,2026-04-17 08:00:00,7.34,5.01,0.24,8.78,22.61,21.45,0.23
ST003,2026-04-17 08:00:00,7.71,4.04,0.43,7.52,22.24,21.81,0.2
ST001,2026-04-17 12:00:00,7.25,6.75,0.14,6.7,20.24,19.17,0.18
ST002,2026-04-17 12:00:00,7.55,5.72,0.23,8.8,23.39,20.45,0.22
ST003,2026-04-17 12:00:00,7.79,4.46,0.45,8.24,21.71,17.67,0.22
ST001,2026-04-17 16:00:00,7.44,7.07,0.09,8.57,20.07,22.46,0.19
ST002,2026-04-17 16:00:00,7.76,6.18,0.27,7.36,21.3,20.06,0.19
ST003,2026-04-17 16:00:00,8.07,4.65,0.44,7.03,18.43,19.71,0.25
ST001,2026-04-17 20:00:00,7.38,7.5,0.11,7.77,19.16,18.23,0.23
ST002,2026-04-17 20:00:00,7.67,6.64,0.27,7.76,19.31,20.89,0.2
ST003,2026-04-17 20:00:00,7.84,5.02,0.51,6.85,16.74,20.25,0.21
ST001,2026-04-18 00:00:00,7.12,7.3,0.11,8.83,15.08,18.76,0.2
ST002,2026-04-18 00:00:00,7.24,6.21,0.32,7.77,17.28,18.11,0.19
ST003,2026-04-18 00:00:00,7.66,4.69,0.5,8.15,15.67,20.37,0.21
